number,value,datetime_start,datetime_complete,duration,params_shuffled_ratio,state
0,0.1102793648269007,2025-05-20 12:11:39.555094,2025-05-20 16:26:44.851618,0 days 04:15:05.296524,0.06123991961336361,COMPLETE
1,0.10998270192432924,2025-05-20 16:26:44.888786,2025-05-20 20:54:19.537461,0 days 04:27:34.648675,0.07623278830834963,COMPLETE
2,0.10987895438091351,2025-05-20 20:54:19.570304,2025-05-21 01:02:43.559748,0 days 04:08:23.989444,0.03607884016155917,COMPLETE
3,0.1097507487392165,2025-05-21 01:02:43.592778,2025-05-21 05:12:37.037681,0 days 04:09:53.444903,0.055384903833375,COMPLETE
4,0.11038423696013748,2025-05-21 05:12:37.071666,2025-05-21 09:23:47.448693,0 days 04:11:10.377027,0.059092919003323564,COMPLETE
5,0.11332103882819577,2025-05-21 09:23:47.481128,2025-05-21 10:37:59.250906,0 days 01:14:11.769778,0.06186140200660739,PRUNED
6,0.11280327164084533,2025-05-21 10:37:59.967385,2025-05-21 11:53:24.392082,0 days 01:15:24.424697,0.07483033375704243,PRUNED
7,0.11116651144346905,2025-05-21 11:53:24.441524,2025-05-21 14:33:24.671179,0 days 02:40:00.229655,0.07476993152714272,PRUNED
8,0.11108443295695092,2025-05-21 14:33:24.720519,2025-05-21 17:08:45.172391,0 days 02:35:20.451872,0.044944736557017154,PRUNED
9,0.10976880727732768,2025-05-21 17:08:45.224658,2025-05-21 21:08:23.759448,0 days 03:59:38.534790,0.08389959803637637,PRUNED
10,0.1099993443228508,2025-05-21 21:08:23.844758,2025-05-22 00:39:25.329052,0 days 03:31:01.484294,0.010957068432085972,PRUNED
11,0.11092093550279493,2025-05-22 00:39:25.377419,2025-05-22 03:08:34.321120,0 days 02:29:08.943701,0.02972018758271172,PRUNED
12,0.11100636520346657,2025-05-22 03:08:34.379098,2025-05-22 06:25:24.302280,0 days 03:16:49.923182,0.034349149154727567,PRUNED
13,0.109588385808989,2025-05-22 06:25:24.322270,2025-05-22 10:25:10.174942,0 days 03:59:45.852672,0.010347893388427256,COMPLETE
14,0.1119358262321988,2025-05-22 10:25:10.211924,2025-05-22 11:49:55.868917,0 days 01:24:45.656993,0.0070083677538190295,PRUNED
15,0.11323269399626007,2025-05-22 11:49:55.949184,2025-05-22 12:48:15.891907,0 days 00:58:19.942723,0.09997486045586612,PRUNED
16,0.11362977191561559,2025-05-22 12:48:16.032082,2025-05-22 13:41:52.473513,0 days 00:53:36.441431,0.02001045718437065,PRUNED
17,0.11117962910666492,2025-05-22 13:41:52.557006,2025-05-22 16:14:26.437847,0 days 02:32:33.880841,0.0501620350666282,PRUNED
18,0.11169677789582581,2025-05-22 16:14:26.545646,2025-05-22 18:44:11.390885,0 days 02:29:44.845239,0.019972836559645272,PRUNED
19,0.11343902919461818,2025-05-22 18:44:11.411064,2025-05-22 19:53:59.911763,0 days 01:09:48.500699,0.047489266540758884,PRUNED
20,0.11189095533447839,2025-05-22 19:54:00.018070,2025-05-22 21:30:20.904414,0 days 01:36:20.886344,0.0003818452777353057,PRUNED
21,0.11081233437432618,2025-05-22 21:30:20.925368,2025-05-23 01:00:11.905382,0 days 03:29:50.980014,0.034879432579098084,PRUNED
22,0.11016228713624464,2025-05-23 01:00:11.926565,2025-05-23 04:44:11.741111,0 days 03:43:59.814546,0.02322939112574901,PRUNED
23,0.10921316927736574,2025-05-23 04:44:11.762225,2025-05-23 08:56:03.843471,0 days 04:11:52.081246,0.04227894386184266,COMPLETE
24,0.11252270358019188,2025-05-23 08:56:03.875840,2025-05-23 10:17:52.124768,0 days 01:21:48.248928,0.05101835516085197,PRUNED
25,0.11340776484846417,2025-05-23 10:17:52.236578,2025-05-23 11:42:38.076508,0 days 01:24:45.839930,0.0417676009879764,PRUNED
26,0.11332344308576948,2025-05-23 11:42:38.097174,2025-05-23 13:03:56.144941,0 days 01:21:18.047767,0.05671475845715008,PRUNED
27,0.11365281232719213,2025-05-23 13:03:56.260022,2025-05-23 14:08:46.334594,0 days 01:04:50.074572,0.025760310191103992,PRUNED
28,0.11279898059498417,2025-05-23 14:08:46.424776,2025-05-23 15:33:11.595350,0 days 01:24:25.170574,0.0678241183140722,PRUNED
29,0.11106531953062516,2025-05-23 15:33:11.713070,2025-05-23 19:21:21.631071,0 days 03:48:09.918001,0.008636743398824878,PRUNED
